parameter	value
raw_retention_surface_wrapper_replay	Wrapper-output replay used 43 cached samples / 7 panels, --strategy universal-auto-exact, --candidate-rescue-switch emitted-ani90-xny100-br01-af70, --candidate-surface-switch accession-current-or-ani93-xny650-br20, policies zero and normalized-depth-alpha2, scope bacteria, and model cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib.
raw_retention_surface_wrapper_replay_decision	Completed 86 profiles. Best policy normalized-depth-alpha2 improved mean_delta_F1=0.006464 and mean_delta_L1=-0.444718 pp, but had min_delta_F1=-0.003754, sample_worsen_n=3, panel_worsen_n=1, and added TP/FP=30/12. Keep opt-in; do not change default.
raw_retention_surface_maxcalls_guard	Opt-in --candidate-surface-max-called-species 250 skips candidate-surface additions when the pre-surface called species count is >250. Default 0 disables this guard.
raw_retention_surface_maxcalls_guard_result	Cached 43-sample replay using the max-called-species guard gives mean_delta_F1=0.006671, min_delta_F1=0, sample_worsen_n=0, panel_worsen_n=0, mean_delta_L1=-0.488058 pp, TP_delta=30, FP_delta=5.
raw_retention_surface_maxcalls_guard_smoke	Marine samples3/4/5 implementation smoke with --candidate-surface-max-called-species 250 wrote /tmp/minco_raw_retention_surface_maxcalls_guard_20260630.marine*.tsv; all three had candidate_surface_guard_blocked=True and surface_added=0; wall 0:17.01-0:17.62; max RSS 3452476 KB.
raw_retention_surface_maxcalls_guard_wrapper_replay	Full wrapper-output replay used 43 cached samples / 7 panels, --strategy universal-auto-exact, --candidate-rescue-switch emitted-ani90-xny100-br01-af70, --candidate-surface-switch accession-current-or-ani93-xny650-br20, --candidate-surface-max-called-species 250, policies zero and normalized-depth-alpha2, scope bacteria, and model cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib. Outputs are under /tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630.
raw_retention_surface_maxcalls_guard_wrapper_result	Completed 86 emitted profiles. Both policies strict-pass; normalized-depth-alpha2 is best with mean_delta_F1=0.006671, min_delta_F1=0, sample_worsen_n=0, panel_worsen_n=0, mean_delta_L1=-0.488058 pp, mean_delta_Pearson=0.004763, TP_delta=30, FP_delta=5, guard_blocked_profiles=6.
raw_retention_surface_maxcalls_guard_wrapper_decision	Best current opt-in candidate but diagnostic_only_not_default because the full wrapper replay uses the same cached 43-sample panel family; require an independent same-namespace holdout before preset/default promotion.
hmp_gastrooral_sample1_holdout_url	https://frl.publisso.de/data/frl:6425518/gastrooral/sample_1.tar.gz
hmp_gastrooral_sample1_streamed_bam_list	/tmp/cami2_hmp_gastrooral_sample1_20260630/nonzero_bam_paths_sample1.txt; 63 positive source BAM paths from /tmp/cami2_hmp_pilot_20260625/truth/abundance1.tsv
hmp_gastrooral_sample1_fastq	/tmp/cami2_hmp_gastrooral_sample1_20260630/reads/gastrooral_sample1.nonzero.fastq.gz; gzip -t passed; size 4.2G
hmp_gastrooral_sample1_truth_quality	GTDB source-abundance truth mapped 221.819715/226.0 mass = 98.150316%; 39 GTDB species; release_grade_candidate=True
hmp_gastrooral_sample1_minco_default	GTDBr232 S1000 annotated MinCO reference /mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno; scripts/minco_profile_default.py; --scope bacteria; -p16; exact split triggered
hmp_gastrooral_sample1_candidate_guard	--candidate-rescue-switch emitted-ani90-xny100-br01-af70; --candidate-surface-switch accession-current-or-ani93-xny650-br20; --candidate-surface-max-called-species 250
hmp_gastrooral_sample1_candidate_abundance_policies	normalized-depth-alpha2 and zero tested from the same default raw tables
hmp_gastrooral_sample1_sylph	GTDB r232 chunked Sylph database list /mnt/new3T/sylph_db/gtdb-r232-c200-dbv1_chunks/gtdb-r232-c200-dbv1.chunk_syldb.list; sylph 0.6.0; sketch -t16; profile -t16
hmp_gastrooral_sample1_decision	Independent same-namespace holdout is negative for default promotion: guarded candidate gains 1 TP over current MinCO but adds 1 FP and worsens L1; Sylph remains higher F1 and lower L1.
hmp_gastrooral_sample1_surface_taxmap_diagnostic	Using --candidate-surface-switch accession-ani90-xny100-br01-af70 with explicit GTDB accession --candidate-surface-taxmap rescues s__Clostridium_F botulinum without adding the Bacteroides FP: F1=0.900000, L1=17.45540282178018, Pearson=0.9863959534066656.
hmp_gastrooral_sample1_code_fix	scripts/minco_profile_calibrated.py now disables candidate surface unless --candidate-surface-taxmap is supplied or the normal --taxmap contains GTDB-style s__ species labels; this prevents silently using an NCBI-style taxmap as a GTDB candidate-surface map.
hmp_gastrooral_sample1_sidecar_install	Installed /mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno/candidate_surface_taxmap.tsv from /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv; size 388M; rows 1348479; sha256 5b461a4f807600d0fee7691c76550b9d7646b04c23534e72ae1f7fea848746f8.
hmp_gastrooral_sample1_sidecar_discovery_check	scripts/minco_profile_default.py table-mode replay with -r /mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno and no explicit --candidate-surface-taxmap matched explicit accession-surface replay for calls, abundance, ANI, and candidate_surface_added row.
default_user_entrypoint	scripts/minco_profile; thin shim over scripts/minco_profile_default.py; same selected candidate preset.
default_compatibility_entrypoint	scripts/minco_profile_default.py; preserved for existing scripts and direct implementation testing.
packaged_default_species_taxmap	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno/species_taxmap.tsv; copied from /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv; sha256 6a02231f77872673752daed51cb2a7c383bd9def88f7d86d939d46a5f3e1af4a.
packaged_default_model_cache	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno/minco_profile_rf_hgb.train12.unfiltered.joblib; copied from /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib; sha256 ea0d1e7e6c4bacc6500cd9a1430044a2ba05a7637749d6d660f2d2ffb4bebae5; metadata scope=bacteria.
packaged_default_profile_defaults	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno/minco_profile_defaults.tsv; option/value TSV; scope=bacteria.
packaged_default_preflight	scripts/minco_profile --check-ref -r REF --reads /tmp/toymouse_sample0_50000_reads.fq.gz; status pass; model_cache_metadata pass; delegated scope bacteria.
packaged_default_smoke	scripts/minco_profile -r REF --reads /tmp/toymouse_sample0_50000_reads.fq.gz -p16 -o /tmp/minco_packaged_default_smoke_20260630/toymouse50k.default.v2.tsv; no explicit taxmap/model/scope/strategy flags.
achievable_release_goal_scope	Release-ready user default, not universal Sylph-beating or final abundance-superiority claim.
achievable_release_goal_checks	goal_scope,simple_entrypoint,preflight,packaged_defaults,selected_default,current_minco_support,external_claim_boundary,expected_gaps_accounted,original_goal_boundary.
achievable_release_goal_decision	achievable_release_goal_supported; original broad research goal remains distinct and incomplete.
